GW Watershed name,IWM MICROBASIN,GW Village name,IWM VILLAGE
ATP_C_67_Ravulachervu,ATP_C_67_RAVULACHERUVU-MB,Ganginepalli,Ganginepalle
ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,Gangulakunta,Gangulakunta
ATP_D_46_Kadlur,ATP_D_46_KADLUR-MB,Ganigera,Ganigera
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Ganjikunta,Ganjikunta
ATP_C_67_Polepalli,ATP_C_67_POLEPALLI-MB,Gantimarri ,Ganthimarri
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Garisalapalli,Gariselapalle
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Garladinne,Garladinne-4
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Garladinne,Garladinne-3
ATP_D_46_Sollapuram,ATP_D_46_SOLLAPURAM (PART-MB,Garudachedu,Garudachedu
ATP_C_64_Palavai,ATP_C_64_PALAVAI-MB,Garudapuram,Garudapuram
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Garuguchintalapalli,Chintalapalle-1
