S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
88,ATP_D_46_Settur,ATP_D_46_SETTUR-MB,15.55,16.73,22.86,23.65,,,,,0.98,0,480,271,209,433.4,162.4,271
89,ATP_C_67_Yellanur,ATP_C_67_YELLANUR (PART)-MB,26.37,21.2,28.38,26.29,12.42,10.43,15.7,8.2,0.9,0.9,632,409,223,402.4,240.8,161.6
90,ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,43.19,16.7,44.74,39.32,18,7.5,13,18,0.9,0.9,719,442,277,682.6,409.6,273
91,ATP_C_59_Kacharlakunta,ATP_C_59_KACHARLAKUNTA (PART)-MB,15.7,8.2,15.51,14.94,16.8,19,19,12.6,0.9,0.9,632,409,223,402.4,240.8,161.6
92,ATP_C_66_Hampapuram,ATP_C_66_HAMPAPURAM-MB,12.97,11.71,15.47,13.95,,,,,0.98,0,581,380,201,582.4,349.8,232.6
93, ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,9.92,6.93,12.58,3.5,,,,,0.98,0,609,227,499,575.6,362.8,212.8
94,ATP_D_46_Appilepalli,ATP_D_46_APPILEPALLI-MB,18.9,16.18,24.92,13.15,,,,,0.98,0,495,289,206,226.2,216.2,310
95,ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,20.19,20.11,24.89,22.3,,,,,0.98,0,577,349,228,334.8,149.2,185.6
96,ATP_C_66_Kurugunta,ATP_C_66_KURUGUNTA-MB,6.91,7.21,8.61,6.82,,,,,0.98,0,339,201,138,582.4,349.8,232.6
97,ATP_C_66_Thumucherla,ATP_C_66_THUMUCHERLA-MB,20.59,22.16,22.9,22.29,,,,,0.98,0,504,307,197,295.4,111,184.4
98,ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,6.91,7.21,8.67,6.82,,,,,0.98,0,339,201,138,631.8,175.2,186.6
99,ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,7.74,7.5,9.28,3.1,,,,,0.98,0,693,431,262,563,237.8,325.2
