,,,,Command Area,,,,,,,,Non-Command Area,,,,,,,,Poor GW quality area,,,,,,,,,,,,,,,,,,,,,,
,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,,,,,,,,,,,,,,,
116,12_C_65_01,ATP_C_65_Guntakal,Marnepalli,0,0,46,0,,0,0,46,,0,0,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
117,12_C_65_01,ATP_C_65_Guntakal,Peddoddi,0,0,92,0,,0,0,92,,0,0,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
118,12_C_65_01,ATP_C_65_Guntakal,Brahmanahaplli,0,0,71,0,,0,0,71,,0,0,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
119,12_C_65_01,ATP_C_65_Guntakal,Yerragudi,0,0,28,0,,0,0,28,,0,0,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
120,12_C_65_01,ATP_C_65_Guntakal,Anaganadoddi,0,0,0,0,,0,0,0,,0,38,,0,0,0,38,,,,,,,,0,,,,,,,,,,,,,,,
121,12_C_65_01,ATP_C_65_Guntakal,Abbedoddi,0,0,0,0,,0,0,0,,0,65,,0,0,0,65,,,,,,,,0,,,,,,,,,,,,,,,
122,12_C_65_01,ATP_C_65_Guntakal,Guntakal,0,0,0,0,0,0,0,0,,0,82,0,0,0,0,82,,,,,,,,0,,,,,,,,,,,,,,,
123,12_C_65_02,ATP_C_65_Kaderpet,Vajrakaruru,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,138,,,,,,,,0,,,,,,,,,,,,,,,
124,12_C_65_02,ATP_C_65_Kaderpet,Ganjikunta,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,,,,,,,,0,,,,,,,,,,,,,,,
125,12_C_65_02,ATP_C_65_Kaderpet,Kadamalakunta,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88,,,,,,,,0,,,,,,,,,,,,,,,
126,12_C_65_02,ATP_C_65_Kaderpet,Tatrakal,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,119,,,,,,,,0,,,,,,,,,,,,,,,
127,12_C_65_02,ATP_C_65_Kaderpet,Pandikunta,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,,,,,,,,0,,,,,,,,,,,,,,,
128,12_C_65_02,ATP_C_65_Kaderpet,Anumpalli,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,112,,,,,,,,0,,,,,,,,,,,,,,,
129,12_C_65_02,ATP_C_65_Kaderpet,Kaderpeta,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,,,,,,,,0,,,,,,,,,,,,,,,
130,12_C_65_02,ATP_C_65_Kaderpet,Nemallepalli,,0,43,,,,0,43,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
131,12_C_65_02,ATP_C_65_Kaderpet,Eddulapalli,,0,183,,,,,183,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
132,12_C_65_02,ATP_C_65_Kaderpet,Ramagiri,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,142,,,,,,,,0,,,,,,,,,,,,,,,
133,12_C_65_02,ATP_C_65_Kaderpet,Palyam,0,0,351,0,0,0,0,351,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
134,12_C_65_02,ATP_C_65_Kaderpet,Katrimala,0,0,212,0,0,0,0,212,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
135,12_C_65_02,ATP_C_65_Kaderpet,Apparajupeta,0,0,84,0,0,0,0,84,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
136,12_C_65_02,ATP_C_65_Kaderpet,Kandlapalli,0,0,77,0,0,0,0,77,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
137,12_C_65_02,ATP_C_65_Kaderpet,S.K.Peta,0,0,55,0,0,0,0,55,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
138,12_C_65_02,ATP_C_65_Kaderpet,Vankarajukalva,0,0,138,0,0,0,0,138,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
139,12_C_65_02,ATP_C_65_Kaderpet,Devarapalli,0,0,83,0,0,0,0,83,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
140,12_C_65_02,ATP_C_65_Kaderpet,Akkajampalli,0,0,43,0,0,0,0,43,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
141,12_C_65_02,ATP_C_65_Kaderpet,Yedururu,,,,,,,,0,,0,66,,,,,66,,,,,,,,0,,,,,,,,,,,,,,,
142,12_C_65_02,ATP_C_65_Kaderpet,Ramarajupalli,,,,,,,,0,,0,4,,,,,4,,,,,,,,0,,,,,,,,,,,,,,,
143,12_C_65_02,ATP_C_65_Kaderpet,Gajarampalli,0,0,46,0,,,,46,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
144,12_C_65_02,ATP_C_65_Kaderpet,Pogaruru,0,0,12,0,,,,12,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
145,12_C_65_02,ATP_C_65_Kaderpet,Gulimikondla,0,0,70,0,,,,70,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
146,12_C_65_02,ATP_C_65_Kaderpet,Kalapuram,0,0,40,0,,,,40,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
147,12_C_65_02,ATP_C_65_Kaderpet,Pamidi,0,0,520,0,,,0,520,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,
