,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
80,VSP_E_27_NC_SABARI-2_CHINTAPALLI,BWs,0,,,,0,,,,0,,,,1036,,45,90,829,7,120,240,2071,,120,240,0,0,,,,,,,0,0,,
81,VSP_E_27_NC_SABARI-2_CHINTAPALLI,S TW,0,,,,0,,,,0,,,,1657,,40,90,0,,120,240,2071,,120,240,0,0,,,,,,,0,0,,
82,VSP_E_27_NC_SABARI-2_CHINTAPALLI,M TW,0,,,,0,,,,0,,,,0,,40,90,0,,120,240,2071,,120,240,0,0,,,,,,,0,0,,
83,VSP_E_27_NC_SABARI-2_CHINTAPALLI,D TW,0,,,,0,,,,0,,,,0,,40,90,0,,120,240,4143,,120,240,0,0,,,,,,,0,0,,
84,VSP_E_27_NC_SABARI-2_CHINTAPALLI,Filter Points,0,,,,0,,,,0,,,,2071,,40,90,0,,120,240,2071,,120,240,0,0,,,,,,,0,0,,
85,VSP_E_27_NC_SABARI-3_G.MADUGULA,DW,0,,,,0,,,,0,,,,829,64.04,40,90,83,283,120,240,0,,120,240,0,0,,,,,,,0,0,,
86,VSP_E_27_NC_SABARI-3_G.MADUGULA,DW+PS/DCB,0,,,,0,,,,0,,,,829,8,45,88,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
87,VSP_E_27_NC_SABARI-3_G.MADUGULA,BWs,0,,,,0,,,,0,,,,1036,0,45,90,1036,23,120,240,0,,120,240,0,0,,,,,,,0,0,,
88,VSP_E_27_NC_SABARI-3_G.MADUGULA,S TW,0,,,,0,,,,0,,,,1657,0,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
89,VSP_E_27_NC_SABARI-3_G.MADUGULA,M TW,0,,,,0,,,,0,,,,0,0,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
90,VSP_E_27_NC_SABARI-3_G.MADUGULA,D TW,0,,,,0,,,,0,,,,0,0,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
91,VSP_E_27_NC_SABARI-3_G.MADUGULA,Filter Points,0,,,,0,,,,0,,,,2071,0,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
92,VSP_E_27_NC_SABARI-4_PEDABAYALU,DW,0,,,,0,,,,0,,,,829,26,40,90,83,115,120,240,1036,,120,240,0,0,,,,,,,0,0,,
