,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
218,11_C_65_22,KDP_C_68_22_RAJUPALEM,Tangaturu,21,2,,,,,23,,,
219,11_C_65_22,KDP_C_68_22_RAJUPALEM,Arkatavemula,6,1,,,,,7,,,
220,11_C_65_22,KDP_C_68_22_RAJUPALEM,Parlapadu,5,1,,,,,6,,,
221,11_C_65_22,KDP_C_68_22_RAJUPALEM,Rajupalem,1,0,,,,,1,,,
222,11_C_65_22,KDP_C_68_22_RAJUPALEM,Thondaladinne,0,0,,,,,0,,,
223,11_C_65_22,KDP_C_68_22_RAJUPALEM,Eruvupalem,0,0,,,,,0,,,
224,11_C_65_22,KDP_C_68_22_RAJUPALEM,Chinnajonnavaram,2,0,,,,,2,,,
225,11_C_65_22,KDP_C_68_22_RAJUPALEM,Velavali,16,2,,,,,18,,,
226,11_C_65_23,KDP_C_68_23_CHAPADU,G.Kothapalli,5,1,,,,,6,,,
227,11_C_65_23,KDP_C_68_23_CHAPADU,Chinnasettipalli,3,1,,,,,4,,,
228,11_C_65_23,KDP_C_68_23_CHAPADU,Pottipadu,6,1,,,,,7,,,
229,11_C_65_23,KDP_C_68_23_CHAPADU,Korrapadu,8,1,,,,,9,,,
230,11_C_65_23,KDP_C_68_23_CHAPADU,Chapadu,11,2,,,,,13,,,
231,11_C_65_23,KDP_C_68_23_CHAPADU,Pallavolu,12,3,,,,,15,,,
232,11_C_65_23,KDP_C_68_23_CHAPADU,Thummalapadu,0,0,,,,,0,,,
233,11_C_65_23,KDP_C_68_23_CHAPADU,Budidepadu,1,0,,,,,1,,,
234,11_C_65_23,KDP_C_68_23_CHAPADU,Anantapuram,34,6,,,,,40,,,
235,11_C_65_23,KDP_C_68_23_CHAPADU,Kutchupapa,2,0,,,,,2,,,
236,11_C_65_23,KDP_C_68_23_CHAPADU,Vedururu,11,3,,,,,14,,,
237,11_C_65_23,KDP_C_68_23_CHAPADU,Bollavaram,,1,,,,,1,,,
238,11_C_65_23,KDP_C_68_23_CHAPADU,Proddatur,62,62,,,,,124,,,
239,11_C_65_23,KDP_C_68_23_CHAPADU,Gopavaram,33,8,,,,,41,,,
240,11_C_65_23,KDP_C_68_23_CHAPADU,Kamanuru,23,4,,,,,27,,,
241,11_C_65_23,KDP_C_68_23_CHAPADU,Sarvireddypalli,0,0,,,,,0,,,
242,11_C_65_23,KDP_C_68_23_CHAPADU,Upparapalli,12,3,,,,,15,,,
243,11_C_65_23,KDP_C_68_23_CHAPADU,Tallamapuram,40,3,,,,,43,,,
244,11_C_65_23,KDP_C_68_23_CHAPADU,Yerraguntapalli,7,1,,,,,8,,,
245,11_C_65_24,KDP_C_68_24_DUVVURU,Idamadaka,27,3,,,,,30,,,
246,11_C_65_24,KDP_C_68_24_DUVVURU,Kanagudur,16,5,,,,,21,,,
247,11_C_65_24,KDP_C_68_24_DUVVURU,Ramachandrapuram,0,0,,,,,0,,,
248,11_C_65_24,KDP_C_68_24_DUVVURU,Dasaripalli,3,1,,,,,4,,,
249,11_C_65_24,KDP_C_68_24_DUVVURU,Neelapuram,7,1,,,,,8,,,
250,11_C_65_24,KDP_C_68_24_DUVVURU,Jillella,13,3,,,,,16,,,
251,11_C_65_24,KDP_C_68_24_DUVVURU,Peddajonnavaram,10,1,,,,,11,,,
252,11_C_65_24,KDP_C_68_24_DUVVURU,Duvvur,61,11,,,,,72,,,
253,11_C_65_24,KDP_C_68_24_DUVVURU,Madirepalli,11,3,,,,,14,,,
254,11_C_65_24,KDP_C_68_24_DUVVURU,Chinnasinganapalli,5,1,,,,,6,,,
255,11_C_65_24,KDP_C_68_24_DUVVURU,Manerampalli,3,1,,,,,4,,,
256,11_C_65_24,KDP_C_68_24_DUVVURU,Rajupalem,0,0,,,,,0,,,
257,11_C_65_24,KDP_C_68_24_DUVVURU,Nelatur,8,1,,,,,9,,,
258,11_C_65_24,KDP_C_68_24_DUVVURU,Balakkivaripalli,3,0,,,,,3,,,
259,11_C_65_24,KDP_C_68_24_DUVVURU,Machanapalli,26,4,,,,,30,,,
260,11_C_65_24,KDP_C_68_24_DUVVURU,Annapusastrulapalli,8,0,,,,,8,,,
261,11_C_65_24,KDP_C_68_24_DUVVURU,Maduru,32,1,,,,,33,,,
262,11_C_65_24,KDP_C_68_24_DUVVURU,Vengannagaripalli,2,0,,,,,2,,,
263,11_C_65_25,KDP_C_68_25_MYDUKURU,T.Sallabhasayapalli,3,1,,,,,4,,,
264,11_C_65_25,KDP_C_68_25_MYDUKURU,Gollapalli,7,2,,,,,9,,,
265,11_C_65_25,KDP_C_68_25_MYDUKURU,Gudipadu,16,6,,,,,22,,,
266,11_C_65_25,KDP_C_68_25_MYDUKURU,Chintakunta,25,9,,,,,34,,,
267,11_C_65_25,KDP_C_68_25_MYDUKURU,Yakarlapalem,,,0,0,,,0,,,
268,11_C_65_25,KDP_C_68_25_MYDUKURU,Tippireddypalli,,,17,1,,,18,,,
269,11_C_65_25,KDP_C_68_25_MYDUKURU,Mudireddypalli,,,6,0,,,6,,,
270,11_C_65_25,KDP_C_68_25_MYDUKURU,Adireddypalli,8,1,,,,,9,,,
271,11_C_65_25,KDP_C_68_25_MYDUKURU,Ganjikunta,31,3,,,,,34,,,
272,11_C_65_25,KDP_C_68_25_MYDUKURU,Gaddamayapalli,3,0,,,,,3,,,
273,11_C_65_25,KDP_C_68_25_MYDUKURU,Lingaladinne,6,0,,,,,6,,,
