GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Ctr-Ch-Bahudaeast-Marrikuntapalle,CTR_CH_BAHUDAEAST_MARRIKUNTAPALLE-MB,Boppasamudram,Boppasamudram
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Boyanapalli,Boyanapalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Boyanapalli,Boyanapalle
Ctr_Papa_Gummasamudram,CTR_PAPA_GUMMASAMUDRAM-MB,Boyyappagaripalle,Bayyappagaripalle
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Bramhanacheruvu,Brahmana Cheruvu
Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,Bramhanakalva,Brahmanakalva
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Bramhanapalli,Brahmanapalle-16
Ctr-Ch-Thettuvanka-Vayalpadu,CTR_CH_TETTUVANKA_VOYALPADU-MB,Bramhanapalli,Brahmanapalle-16
Ctr-Kor-Kundetivanka,CTR_KORATLIAR__KUNDETIVANKA_VEDURUKUPPAM-MB,Bramhanapalli,Brahmanapalle-16
Ctr-Swarna-Valagalamanda-Muchuvolu,CTR_SWARNA__VALAGALAMANDA_MUCHUVOLU-MB,Bramhanapalli,Brahmanapalle-16
Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,Bramhanapattu,Brahmana Pattu
