,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
241,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Devalapalli,,,,0
242,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Kadirayacheruvu,,,,0
243,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Nadimcherla,,,,0
244,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Madinenipalem,,,,0
245,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Kona,,,,0
246,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Gudibanda,,,,0
247,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Marrimakulapalli,,,,0
248,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Forest,,,,0
249,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Forest,,,,0
250,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Gangapuram,,,,0
251,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Ratiguntapalli,,,,0
252,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Errakotapalli,,,,0
253,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Nawabpeta,,,,0
254,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Mudiamvaripalli,,,,0
255,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Enugondapalem,,,,0
256,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Kalakada Doddipalle,,,,0
257,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Nagarimadugu,,,,0
258,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Velagapalli,,,,0
259,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Jarravaripalli,,,,0
260,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Ayyavaripalli,,,,0
261,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Chintaparti,,,,0
262,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Jamallapalli,,,,0
263,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Budidavedu,,,,0
264,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Tsakirevupalli,,,,0
265,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Manchur,,,,0
266,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Forest,,,,0
267,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Amilepalli,,,,0
268,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Arigalavaripalli,,,,0
269,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Settivaripalli,,,,0
270,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Ramapuram,,,,0
271,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Marripadu,,,,0
272,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Tarigonda,,,,0
273,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,T.Rachapalli,,,,0
274,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Matlivaripalli,,,,0
275,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Potuvaripalli,,,,0
276,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Forest,,,,0
277,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Forest,,,,0
278,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Parapatla,,,,0
279,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Chikatipalli,,,,0
280,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Gundluru,,,,0
281,10-C-71-13,Ctr-Ch-Marripadu-Tarikonda,Mahalrajupalli,,,,0
282,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,CTM,,,,0
283,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Kothavaripalli,,,,0
284,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Kasiraopeta,,,,0
285,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Pothapolu,,,,0
286,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Kurabalakota,,,,0
287,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Thettu,,,,0
288,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Angallu,,,,0
289,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Bramhanapalli,,,,0
290,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Mutakavaripalli,,,,0
291,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Forest,,,,0
292,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Valmiki Puram,,,,0
293,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Chintalavaripalli,,,,0
294,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Aramadaka,,,,0
295,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Kuraparti,,,,0
296,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Vitalam,,,,0
297,10-C-71-14,Ctr-Ch-Thettuvanka-Vayalpadu,Kollabailu,,,,0
298,10-C-71-15,Ctr-Ch-Regadakalva-Madanapalle,Madanapalli,,,,0
