,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
95,Skl_F_Kandivalasagedda_PBVaram,STW,0,,,,0,,,,0,,,,2744,1210,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
96,Skl_F_Kandivalasagedda_PBVaram,MTW,0,,,,0,,,,0,,,,2744,10,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
97,Skl_F_Kandivalasagedda_PBVaram,Deep TW,0,,,,0,,,,0,,,,2744,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
98,Skl_F_Kandivalasagedda_PBVaram,Filter Points,0,,,,0,,,,0,,,,2744,,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
99,Skl_F_Mahendratanaya_N,DW,0,,,,0,,,,0,,,,2159.92,744,40,90,399.84,1298,120,240,1999.76,,120,240,,,,,,,,,,,,
100,Skl_F_Mahendratanaya_N,DW+PS/DCB,0,,,,0,,,,0,,,,3199.84,33,45,88,2400.16,38,120,240,4000.08,,120,240,,,,,,,,,,,,
101,Skl_F_Mahendratanaya_N,BWs,0,,,,0,,,,0,,,,0,,40,90,2880.08,,120,240,0,,120,240,,,,,,,,,,,,
102,Skl_F_Mahendratanaya_N,STW,0,,,,0,,,,0,,,,5600,828,40,90,5600,,120,240,5600,,120,240,,,,,,,,,,,,
103,Skl_F_Mahendratanaya_N,MTW,0,,,,0,,,,0,,,,0,,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
104,Skl_F_Mahendratanaya_N,Deep TW,0,,,,0,,,,0,,,,0,,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
