,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
191,06-D-49-03,Kri-D-49-Jayanthi,Veerullapadu,46,2,0,0,,,48,,,
192,06-D-49-03,Kri-D-49-Jayanthi,Jayanthi,43,3,0,0,,,46,,,
193,06-D-49-03,Kri-D-49-Jayanthi,Dodda Devarapadu,21,2,0,0,,,23,,,
194,06-D-49-03,Kri-D-49-Jayanthi,Ramapuram,0,1,0,0,,,1,,,
195,06-D-51-18,Kri-D-51-Kanchikacherla ,Peddapuram,45,2,0,0,,,47,,,
196,06-D-51-18,Kri-D-51-Kanchikacherla ,G.Madhavaram,17,1,0,0,,,18,,,
197,06-D-51-18,Kri-D-51-Kanchikacherla ,Thimmapuram,0,0,0,0,,,0,,,
198,06-D-51-18,Kri-D-51-Kanchikacherla ,Alluru,51,3,0,0,,,54,,,
199,06-D-51-18,Kri-D-51-Kanchikacherla ,Chennaraopalem,26,0,0,0,,,26,,,
200,06-D-51-18,Kri-D-51-Kanchikacherla ,Jujjuru,100,3,0,0,,,103,,,
201,06-D-51-18,Kri-D-51-Kanchikacherla ,N.R.Palem,28,0,0,0,,,28,,,
202,06-D-51-18,Kri-D-51-Kanchikacherla ,Jaganadhapuram,15,1,0,0,,,16,,,
203,06-D-51-18,Kri-D-51-Kanchikacherla ,Ponnavaram,14,0,0,0,,,14,,,
204,06-D-51-18,Kri-D-51-Kanchikacherla ,Peerakalapadu,12,1,0,0,,,13,,,
205,06-D-51-18,Kri-D-51-Kanchikacherla ,Gottumukkala,80,1,0,0,,,81,,,
206,06-D-51-18,Kri-D-51-Kanchikacherla ,Kanchikacherla,144,1,0,0,,,145,,,
207,06-D-51-18,Kri-D-51-Kanchikacherla ,Paritala,67,6,0,0,,,73,,,
208,06-D-51-18,Kri-D-51-Kanchikacherla ,Bathinapadu,9,1,0,0,,,10,,,
