S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
208,06-I-52-44,Kri-I-52-Ghantasala,Devarakota,798.06,0,0,0,,,,,,,,
209,06-I-52-44,Kri-I-52-Ghantasala,Birudagadda,173.61,0,0,0,,,,,,,,
210,06-I-52-44,Kri-I-52-Ghantasala,Yelakalakuduru,297.45,0,0,0,,,,,,,,
211,06-I-52-44,Kri-I-52-Ghantasala,Bollapadu,195.47,0,0,0,,,,,,,,
212,06-I-52-44,Kri-I-52-Ghantasala,Chitturu,148.12,0,0,0,,,,,,,,
213,06-I-52-44,Kri-I-52-Ghantasala,Pooshadam,186.97,0,0,0,,,,,,,,
214,06-I-52-44,Kri-I-52-Ghantasala,Lankapalli,70.42,0,0,0,,,,,,,,
215,06-I-52-44,Kri-I-52-Ghantasala,Yendakuduru,52.61,0,0,0,,,,,,,,
216,06-I-52-44,Kri-I-52-Ghantasala,Chilakalapudi,554.84,0,0,0,,,,,,,,
217,06-I-52-44,Kri-I-52-Ghantasala,V.Rudravaram,315.66,0,0,0,,,,,,,,
218,06-I-52-44,Kri-I-52-Ghantasala,Mallampalli,501.42,0,0,0,,,,,,,,
219,06-I-52-44,Kri-I-52-Ghantasala,Daliparru,340.75,0,0,0,,,,,,,,
220,06-I-52-44,Kri-I-52-Ghantasala,Chitturpu,478.75,0,0,0,,,,,,,,
221,06-I-52-46,Kri-I-52-Challapalli,Challapalli,174.42,0,0,8.09,,,,,,,,
222,06-I-52-46,Kri-I-52-Challapalli,Nadakuduru,98.75,0,42.49,144.07,,,,,,,,
223,06-I-52-46,Kri-I-52-Challapalli,Puritigadda,131.53,0,157.02,130.31,,,,,,,,
224,06-I-52-46,Kri-I-52-Challapalli,Yarlagadda,278.43,0,95.91,68.39,,,,,,,,
225,06-I-52-46,Kri-I-52-Challapalli,Nimmagadda,2.02,0,26.71,45.73,,,,,,,,
226,06-I-52-46,Kri-I-52-Challapalli,Chidepudi,0.4,0,56.25,0,,,,,,,,
227,06-I-52-46,Kri-I-52-Challapalli,Velivolu,231.89,0,0,64.35,,,,,,,,
228,06-I-52-46,Kri-I-52-Challapalli,Pagolu,550.38,0,12.55,38.85,,,,,,,,
229,06-I-52-46,Kri-I-52-Challapalli,Lakshmipuram,903.68,0,203.16,196.28,,,,,,,,
230,06-I-52-46,Kri-I-52-Challapalli,Mangalapuram,797.25,0,12.14,8.09,,,,,,,,
231,06-I-52-46,Kri-I-52-Challapalli,Vakkalagadda,441.52,0,51.8,222.18,,,,,,,,
232,06-I-52-46,Kri-I-52-Challapalli,Majeru,1393.36,125.46,178.07,0,,,,,,,,
233,06-I-52-47,Kri-I-52-Mopidevi,Kokkiligadda,632.13,0,0,0,,,,,,,,
234,06-I-52-47,Kri-I-52-Mopidevi,Pedaprolu,802.51,0,0,0,,,,,,,,
235,06-I-52-47,Kri-I-52-Mopidevi,Kaptanupalem,127.07,0,0,0,,,,,,,,
236,06-I-52-47,Kri-I-52-Mopidevi,Mopidevi,706.6,0,0,0,,,,,,,,
237,06-I-52-47,Kri-I-52-Mopidevi,Pedakallepalli,1735.33,0,0,0,,,,,,,,
238,06-I-52-47,Kri-I-52-Mopidevi,Tekupalli,63.94,0,0,0,,,,,,,,
239,06-I-52-47,Kri-I-52-Mopidevi,Merakanapalli,316.07,0,0,0,,,,,,,,
240,06-I-52-47,Kri-I-52-Mopidevi,Melamarti lanka,165.52,0,0,0,,,,,,,,
241,06-I-52-47,Kri-I-52-Mopidevi,North chiruvolulanka,146.09,0,0,0,,,,,,,,
242,06-I-52-47,Kri-I-52-Mopidevi,Mopidevi lanka,48.56,0,1.62,0,,,,,,,,
243,06-I-52-47,Kri-I-52-Mopidevi,Venkatapuram,146.09,0,0,0,,,,,,,,
244,06-I-52-47,Kri-I-52-Mopidevi,Annavaram,189.8,0,0,0,,,,,,,,
245,06-I-52-47,Kri-I-52-Mopidevi,Ayodya,4.86,0,0,0,,,,,,,,
246,06-I-52-47,Kri-I-52-Mopidevi,Mellamarru,42.49,0,0,0,,,,,,,,
247,06-I-52-47,Kri-I-52-Mopidevi,Chiruvolu,57.06,0,0,0,,,,,,,,
248,06-I-52-47,Kri-I-52-Mopidevi,Nagayathippa,0,0,0,0,,,,,,,,
249,06-I-52-47,Kri-I-52-Mopidevi,Bobbarlanka,0,0,0,0,,,,,,,,
250,06-I-52-48,Avanigadda,Puligadda,4.05,0,0,0,,,,,,,,
251,06-I-52-48,Avanigadda,Modumudi,1175.64,0,0,0,,,,,,,,
252,06-I-52-48,Avanigadda,Avanigadda,263.46,0,0,0,,,,,,,,
253,06-I-52-48,Avanigadda,Edlalanka,0,0,0,0,,,,,,,,
254,06-I-52-48,Avanigadda,Vekanuru,955.08,0,0,0,,,,,,,,
255,06-I-52-48,Avanigadda,Aswaraopalem,679.89,0,0,0,,,,,,,,
