,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
123,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Subbampeta",0,0,0,0,0,0,13,0,0,0,0,0,0,0,,,,,,,,
124,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gorsa",0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,
125,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Komaragiri",0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,
126,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppada",0,0,0,0,0,0,9,0,0,0,0,0,0,0,,,,,,,,
127,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Aminabada",3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
128,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chadalada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
129,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Divili",0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,
130,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gudiwada",9,0,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,
131,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gorinta",0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
132,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","G.Ragampeta",0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,
133,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","J.Timmapuram",6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
134,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandrakota",0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
135,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kattamuru",0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
136,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Marlova",0,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,
137,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pulimeru",5,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,
138,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Peddapuram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
139,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Siriwada",0,0,0,46,26,18,0,0,0,0,0,0,0,0,,,,,,,,
140,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tirupati",0,0,0,28,14,8,0,0,0,0,0,0,0,0,,,,,,,,
141,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tadiparti",4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
142,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ulimeswram",14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
143,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vadlamuru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
144,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chandramampalli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
145,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mamilladoddi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
146,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Boyanapudi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
147,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","V.K.Rayapuram",0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
148,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Unduru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
149,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Koppavaram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
150,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Panasapadu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
151,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Valluru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
152,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","PVemavaram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
