S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,,,,,
68,04_E_32_26-003,EG-G-Zk-Rangampet,Nallamilli,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260130114,013,Nallamilli
69,04_E_32_26-003,EG-G-Zk-Rangampet,G.Dontamuru,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260140115,014,G.Dontamuru
70,04_E_32_26-003,EG-G-Zk-Rangampet,Veerampalem,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260150116,015,Veerampalem
71,04_E_32_26-003,EG-G-Zk-Rangampet,Balabhadrapuram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,34,Biccavole,04050340060104,6,Balabhadrapuram
72,04_E_32_26-003,EG-G-Zk-Rangampet,Kapavaram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,34,Biccavole,04042340070105,7,Kapavaram
73,04_E_32_26-003,EG-G-Zk-Rangampet,Rangapuram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,34,Biccavole,04042340010101,1,Rangapuram
74,04_E_32_26-003,EG-G-Zk-Rangampet,Tummalapalli,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,34,Biccavole,04042340030102,3,Tummalapalli
75,04_E_32_26-003,EG-G-Zk-Rangampet,Rallakandrika,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,34,Biccavole,04042340040102,4,Rallakandrika
76,04_E_32_26-003,EG-G-Zk-Rangampet,Illapalli,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,34,Biccavole,04042340020102,2,Illapalli
77,04_E_32_26-003,EG-G-Zk-Rangampet,Peda Brahmadevam,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,25,Samalkota,04043250010101,1,Peda Brahmadevam
