"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
220,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","NELAKOTA",,,6,22,,
221,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","POTAVARAM",,,5,34,,
222,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","DEVARAM",,,0,,,
223,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","M.RAVILANKA",,,3,12,,
224,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","PEDABHIMPALLI",,,6,28,,
225,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","INDUKURU",,,2,6,,
226,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","INDUKURUPET",,,1,3,,
227,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","SARABAVARAM",,,6,38,,
228,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","LOTHUPALEM",,,0,,,
229,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Forest",,,2,6,,
230,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Bolleddupalem",6,28,,,,
231,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kotikesavaram",2,5,,,,
232,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Raghavapuram",1,4,,,,
233,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Srirangapatnam",,,3,35,,
234,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Koti",1,6,,,,
235,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Munagala",3,8,,,,
236,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kapavaram",5,16,,,,
237,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Korukonda",,,4,42,,
238,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Purushottapatnam",,,,,,
239,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Vangalapudi",,,,,,
240,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","chinakodepudi",,,,,,
241,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Nagampalli",,,,,,
242,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Nallagonda",1,4,,,,
243,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Singavaram",,,,,,
244,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Sitanagaram",,,,,,
245,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Raghudevapuram",,,,,,
246,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kunavaram",,,,,,
247,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Muggalla",,,,,,
248,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Munikudali",,,,,,
249,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Katavaram",,,,,,
250,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Jalimudi",,,,,,
