,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,0,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
99,EG-G-LGD- Pedapudi,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
100,EG-G-LGD- Pedapudi,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
101,EG-G-LGD- Pedapudi,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
102,EG-G-LGD- Pedapudi,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
103,EG-G-LGD- Pedapudi,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
104,EG-G-LGD- Pedapudi,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
105,EG-G-LGD- Pedapudi,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
106,EG-G-LGD- Ainavilli,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
107,EG-G-LGD- Ainavilli,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
108,EG-G-LGD- Ainavilli,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
109,EG-G-LGD- Ainavilli,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
110,EG-G-LGD- Ainavilli,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
111,EG-G-LGD- Ainavilli,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
112,EG-G-LGD- Ainavilli,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
113,EG_G_LGD_ Alamuru,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
114,EG_G_LGD_ Alamuru,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
115,EG_G_LGD_ Alamuru,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
